studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
1047,2014,62,12,GYM20,Q2,75,
1050,2014,92,7,ENG45,Q2,84,
1050,2014,98,9,ENG45,Q1,94,
1050,2014,98,9,SCI51,Q1,95,
1050,2014,92,7,SCI51,Q2,90,
1054,2014,95,13,SCI30,Q1,80,
1054,2014,94,16,SCI30,Q2,72,
1065,2014,100,4,ENG40,Q1,80,
1065,2014,100,2,ENG40,Q2,89,
1065,2014,100,2,HIST45,Q2,78,
1065,2014,100,4,HIST45,Q1,74,
1069,2014,90,9,MATH40,Q1,70,
1069,2014,96,14,MATH40,Q2,66,
1070,2014,93,5,SPAN40,Q1,85,
1070,2014,96,10,SPAN40,Q2,92,
1071,2014,94,26,MATH35,Q2,85,
1071,2014,94,26,SCI30,Q2,57,
1071,2014,95,26,SCI30,Q1,72,
1076,2014,100,8,HIST45,Q1,83,
1076,2014,100,7,HIST45,Q2,78,
1085,2014,100,14,ENG05,Q2,100,
1085,2014,100,12,ENG05,Q1,50,
1085,2014,100,12,HIST41,Q1,90,
1085,2014,100,14,HIST41,Q2,83,
1085,2014,100,14,SCI31,Q2,83,
1085,2014,100,12,SCI31,Q1,85,
1088,2014,96,18,ART12,Q2,83,
1088,2014,98,13,ART12,Q1,82,
1088,2014,98,13,SCI30,Q1,76,
1088,2014,96,18,SCI30,Q2,77,
1096,2014,98,14,HIST45,Q1,83,
1096,2014,84,21,HIST45,Q2,85,
1113,2014,66,54,ENG05,Q2,50,
1113,2014,79,63,ENG05,Q1,50,
1113,2014,79,63,SCI31,Q1,72,
1113,2014,66,54,SCI31,Q2,50,
1117,2014,83,37,ENG05,Q1,96,
1117,2014,82,41,ENG05,Q2,50,
1117,2014,82,41,HIST20,Q2,70,
1117,2014,83,37,HIST20,Q1,64,
1117,2014,83,37,MATH73,Q1,79,
1117,2014,82,41,MATH73,Q2,93,
1118,2014,90,15,SCI30,Q1,74,
1118,2014,88,30,SCI30,Q2,78,
1120,2014,88,34,ENG30,Q2,61,
1120,2014,95,42,ENG30,Q1,77,
1127,2014,93,19,GYM31,Q1,90,
1127,2014,96,22,GYM31,Q2,85,
1128,2014,93,26,SCI31,Q1,82,
1128,2014,82,43,SCI31,Q2,84,
1138,2014,98,18,ENG05,Q1,50,
1138,2014,92,19,ENG05,Q2,60,
1138,2014,92,19,GYM30,Q2,98,
1138,2014,98,18,GYM30,Q1,100,
1142,2014,95,40,GYM30,Q1,70,
1142,2014,92,62,GYM30,Q2,85,
1157,2014,96,1,ART20,Q2,94,
1157,2014,98,3,ART20,Q1,87,
1157,2014,98,3,ENG40,Q1,83,
1157,2014,96,1,ENG40,Q2,72,
1157,2014,96,1,HIST45,Q2,81,
1157,2014,98,3,HIST45,Q1,73,
1157,2014,98,3,MATH45,Q1,82,
1157,2014,96,1,MATH45,Q2,59,
1158,2014,94,2,ENG45,Q2,84,
1158,2014,100,5,ENG45,Q1,85,
1158,2014,100,5,SCI36,Q1,91,
1158,2014,94,2,SCI36,Q2,90,
1179,2014,83,60,HIST45,Q1,79,
1179,2014,92,54,HIST45,Q2,80,
1180,2014,76,118,ENG05,Q2,50,
1180,2014,88,74,ENG05,Q1,100,
1180,2014,88,74,GYM33,Q1,99,
604,2014,94,10,MATH34,Q2,88,
604,2014,90,5,MATH34,Q1,76,
621,2014,95,33,GYM33,Q1,84,
621,2014,72,27,GYM33,Q2,85,
621,2014,72,27,SCI20,Q2,73,
621,2014,95,33,SCI20,Q1,72,
